,Region_Code,Division_Code,Municipality_Code,Full_Division_Code,Full_Municipality_Code,BEIS_School_ID,Implementing_Unit,Modified_COC,School_Type,Enroll_G7_M,Enroll_G7_F,Enroll_G8_M,Enroll_G8_F,Enroll_G9_M,Enroll_G9_F,Enroll_G10_M,Enroll_G10_F,Enroll_SNEd_NGJHS_M,Enroll_SNEd_NGJHS_F,Enroll_Total_JHS_M,Enroll_Total_JHS_F,Enroll_Total_JHS_All,Dropout_Rate_G7_M,Dropout_Rate_G7_F,Dropout_Rate_G8_M,Dropout_Rate_G8_F,Dropout_Rate_G9_M,Dropout_Rate_G9_F,Dropout_Rate_G10_M,Dropout_Rate_G10_F,Dropout_Rate_SNEd_NGJHS_M,Dropout_Rate_SNEd_NGJHS_F,Dropout_Rate_Total_JHS_M,Dropout_Rate_Total_JHS_F,Dropout_Rate_Total_JHS_All,JHS_Instructional_Rooms,JHS_Classroom_Ratio,JHS_Seats,JHS_Seat_Ratio,JHS_Toilet,JHS_Toilet_Ratio,JHS_Computer,JHS_Computer_Ratio,JHS_Teacher,JHS_Teacher_Ratio,Cancel_2016,Cancel_2017,Cancel_2018,Cancel_2019,Cancel_2020,Cancel_2021,Cancel_2022,Cancel_2023,Cancel_Total_20162023,Cancel_Average_20162023,Pilot_Cancel,Pilot_Ratio,Pilot_Shift
1,14,2,1,1402,140201,502170,0,1,1,6,9,14,10,6,6,12,11,0,0,38,36,74,0,0,0,0,0,0.1667,0,0,0,0,0,0.0278,0.0135,11,6.73,54,1,7,10.57,40,1.85,3,24.67,3,1,2,8,2,2,9,12,39,5,1,0,0
2,14,2,4,1402,140204,501753,0,1,1,13,15,17,19,13,12,9,18,0,0,52,64,116,0.3077,0,0.0588,0,0.0769,0,0,0,0,0,0.1154,0,0.0517,6,19.33,105,1,6,19.33,49,2.367346939,6,19.33,3,1,2,8,2,2,9,12,39,5,1,0,0
3,14,2,4,1402,140204,501757,0,1,1,10,8,7,13,9,6,9,11,0,0,35,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.5,286,0,5,15,17,4.294117647,6,12.17,3,1,2,8,2,2,9,12,39,5,1,0,0
4,14,2,4,1402,140204,501759,0,1,1,19,13,23,17,24,12,15,11,0,0,81,53,134,0.0526,0,0.1304,0,0.0417,0,0,0,0,0,0.0617,0,0.0373,11,12.23,97,1,10,13.25,0,-999,6,22.33,3,1,2,8,2,2,9,12,39,5,1,0,0
5,14,2,6,1402,140206,502174,0,1,1,16,17,15,19,11,20,15,15,0,0,57,71,128,0,0,0,0,0,0,0.0667,0.0667,0,0,0.0175,0.0141,0.0156,8,16.6,103,1,5,27.67,41,3.12195122,1,128,3,1,2,8,2,2,9,12,39,5,1,1,0
6,14,2,7,1402,140207,501203,0,1,1,17,12,18,22,19,16,13,17,0,0,67,67,134,0.0588,0.0833,0.1111,0.0909,0.1053,0,0,0,0,0,0.0746,0.0448,0.0597,2,68,27,5,0,-999,80,1.675,8,16.75,3,1,2,8,2,2,9,12,39,5,1,0,0
7,14,2,7,1402,140207,502172,0,1,1,27,18,22,16,27,26,27,30,0,0,103,90,193,0.037,0,0,0,0,0,0,0,0,0,0.0097,0,0.0052,8,25.36,181,1,4,46.5,93,2.075268817,2,96.5,3,1,2,8,2,2,9,12,39,5,1,1,0
8,14,2,8,1402,140208,501810,0,1,1,3,5,11,12,7,6,4,13,0,0,25,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,77,1,1,90,14,4.357142857,10,6.1,3,1,2,8,2,2,9,12,39,5,1,0,0
9,14,2,5,1402,140205,305126,0,2,1,41,35,39,51,44,39,48,48,0,0,172,173,345,0.0488,0,0.1026,0,0.0682,0.0256,0.0417,0,0,0,0.064,0.0058,0.0348,6,56.92,162,2,3,113.83,0,-999,17,20.29,3,1,2,8,2,2,9,12,39,5,1,0,1
10,14,2,1,1402,140201,502619,0,3,1,20,11,0,0,0,0,0,0,0,0,20,11,31,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.129,10,3.1,195,0,12,2.58,0,-999,3,10.33,3,1,2,8,2,2,9,12,39,5,1,0,0
11,14,2,2,1402,140202,501809,0,3,1,13,5,13,9,16,9,16,7,0,0,58,30,88,0,0,0,0,0.0625,0,0.0625,0,0,0,0.0345,0,0.0227,11,8,146,1,9,9.78,0,-999,3,29.33,3,1,2,8,2,2,9,12,39,5,1,0,0
12,14,2,2,1402,140202,502621,0,3,1,5,3,7,2,4,6,0,0,0,0,16,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,35,1,0,-999,0,-999,2,13.5,3,1,2,8,2,2,9,12,39,5,1,0,0
13,14,2,3,1402,140203,501760,0,3,1,11,2,4,4,3,2,4,5,0,0,22,13,35,0.0909,0,0,0,0.3333,0,0,0,0,0,0.0909,0,0.0571,11,3.18,40,1,8,4.38,2,17.5,5,7,3,1,2,8,2,2,9,12,39,5,1,0,0
14,14,2,4,1402,140204,501301,0,3,1,13,15,20,13,9,11,8,7,0,0,50,46,96,0.2308,0,0.05,0,0.1111,0,0,0,0,0,0.1,0,0.0521,8,12,86,1,5,19.2,1,96,6,16,3,1,2,8,2,2,9,12,39,5,1,0,0
15,14,2,4,1402,140204,502177,0,3,1,16,10,16,8,14,8,4,6,0,0,50,32,82,0.125,0,0.0625,0.125,0.0714,0.125,0,0,0,0,0.08,0.0625,0.0732,9,9.11,130,1,5,16.4,4,20.5,3,27.33,3,1,2,8,2,2,9,12,39,5,1,0,0
16,14,2,5,1402,140205,502176,0,3,1,11,16,21,14,20,15,14,9,0,0,66,54,120,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,150,1,10,12,45,2.666666667,1,120,3,1,2,8,2,2,9,12,39,5,1,1,0
17,14,2,5,1402,140205,502316,0,3,1,20,15,16,11,28,17,16,8,0,0,80,51,131,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.1,200,1,13,10.08,5,26.2,2,65.5,3,1,2,8,2,2,9,12,39,5,1,1,0
18,14,2,5,1402,140205,502175,0,3,1,16,16,19,17,14,15,15,21,0,0,64,69,133,0,0,0.0526,0,0,0,0,0,0,0,0.0156,0,0.0075,14,9.5,29,5,14,9.5,1,133,8,16.63,3,1,2,8,2,2,9,12,39,5,1,0,0
19,14,2,5,1402,140205,502315,0,3,1,26,36,52,37,0,0,0,0,0,0,78,73,151,0.0385,0.0278,0.0769,0,0,0,0,0,0,0,0.0641,0.0137,0.0397,5,30.2,539,0,32,4.72,0,-999,1,151,3,1,2,8,2,2,9,12,39,5,1,1,0
20,14,2,6,1402,140206,502173,0,3,1,16,15,18,11,13,7,0,0,0,0,47,33,80,0.0625,0,0.1111,0,0,0,0,0,0,0,0.0638,0,0.0375,13,6.15,278,0,21,3.81,2,40,1,80,3,1,2,8,2,2,9,12,39,5,1,1,0
21,14,2,6,1402,140206,502622,0,3,1,10,12,13,7,0,0,0,0,0,0,23,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.63,264,0,23,1.83,0,-999,1,42,3,1,2,8,2,2,9,12,39,5,1,1,0
22,14,2,7,1402,140207,502623,0,3,1,5,5,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.11,17,1,7,1.43,0,-999,2,5,3,1,2,8,2,2,9,12,39,5,1,0,0
23,14,2,8,1402,140208,501761,0,3,1,14,15,17,18,13,19,12,22,0,0,56,74,130,0,0,0.0588,0,0.1538,0.0526,0,0.0909,0,0,0.0536,0.0405,0.0462,15,8.67,26,5,14,9.29,18,7.222222222,7,18.57,3,1,2,8,2,2,9,12,39,5,1,0,0
24,14,2,8,1402,140208,502169,0,3,1,4,6,2,2,9,6,0,0,0,0,15,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.63,-999,0,4,7.25,0,-999,1,29,3,1,2,8,2,2,9,12,39,5,1,0,0
25,14,2,8,1402,140208,502171,0,3,1,6,9,5,9,4,10,4,5,0,0,19,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.78,41,1,0,-999,1,52,1,52,3,1,2,8,2,2,9,12,39,5,1,1,0
26,14,2,10,1402,140210,502168,0,3,1,5,14,11,12,23,11,7,8,0,0,46,45,91,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.17,138,1,8,11.38,0,-999,1,91,3,1,2,8,2,2,9,12,39,5,1,1,0
27,14,2,10,1402,140210,502314,0,3,1,3,3,9,2,0,0,0,0,0,0,12,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.25,114,0,3,5.67,0,-999,1,17,3,1,2,8,2,2,9,12,39,5,1,0,0
28,14,2,11,1402,140211,502618,0,3,1,5,6,4,6,9,6,8,5,0,0,26,23,49,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.5,487,0,28,1.75,4,12.25,4,12.25,3,1,2,8,2,2,9,12,39,5,1,0,0
29,14,2,12,1402,140212,501758,0,3,1,2,5,5,8,1,1,4,7,0,0,12,21,33,0,0,0.2,0,0,0,0,0,0,0,0.0833,0,0.0303,9,3.67,118,0,11,3,0,-999,7,4.71,3,1,2,8,2,2,9,12,39,5,1,0,0
30,14,2,12,1402,140212,501951,0,3,1,14,9,14,18,23,4,12,6,0,0,63,37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7.69,177,1,14,7.14,0,-999,1,100,3,1,2,8,2,2,9,12,39,5,1,1,0
31,14,2,12,1402,140212,502340,0,3,1,5,4,3,4,6,4,0,0,0,0,14,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.71,54,0,11,2.36,10,2.6,1,26,3,1,2,8,2,2,9,12,39,5,1,0,0
32,14,2,1,1402,140201,305129,1,2,1,15,16,20,17,22,22,32,26,0,0,89,81,170,0.0667,0,0,0,0.0455,0.0455,0,0,0,0,0.0225,0.0123,0.0176,10,17.12,182,1,9,18.19,105,1.619047619,21,8.1,3,1,2,8,2,2,9,12,39,5,1,0,0
33,14,2,1,1402,140201,305130,0,2,1,48,38,43,50,45,51,38,57,0,0,174,196,370,0.0208,0.0526,0.0233,0.04,0.0222,0,0,0.0175,0,0,0.0172,0.0255,0.0216,14,25.58,442,1,5,69.43,136,2.720588235,13,28.46,3,1,2,8,2,2,9,12,39,5,1,0,0
34,14,2,2,1402,140202,305128,0,2,2,27,11,17,18,15,18,18,18,0,0,77,65,142,0.0741,0.0909,0.0588,0,0.1333,0,0,0,0,0,0.0649,0.0154,0.0423,8,17.58,101,1,10,14.07,156,0.91025641,20,7.1,3,1,2,8,2,2,9,12,39,5,1,0,0
35,14,2,2,1402,140202,305131,0,2,1,17,10,28,8,15,16,15,13,0,0,75,47,122,0.0588,0,0.0714,0,0,0.0625,0,0.0769,0,0,0.04,0.0426,0.041,6,19.22,159,1,5,24.71,154,0.792207792,14,8.71,3,1,2,8,2,2,9,12,39,5,1,0,0
36,14,2,2,1402,140202,318911,0,2,1,8,14,13,17,18,14,12,20,0,0,51,65,116,0,0,0.0769,0,0.1111,0,0,0,0,0,0.0588,0,0.0259,4,33,137,1,2,55,0,-999,1,116,3,1,2,8,2,2,9,12,39,5,1,1,0
37,14,2,2,1402,140202,318913,0,2,1,13,15,19,13,15,27,12,20,0,0,59,75,134,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.38,137,1,8,17.73,85,1.576470588,8,16.75,3,1,2,8,2,2,9,12,39,5,1,0,0
38,14,2,3,1402,140203,305135,1,2,1,39,21,28,31,26,41,35,35,0,0,128,128,256,0.1026,0,0.0357,0.0323,0.0385,0.0244,0.0286,0.0286,0,0,0.0547,0.0234,0.0391,17,14.72,143,2,17,15.25,45,5.688888889,26,9.85,3,1,2,8,2,2,9,12,39,5,1,0,0
39,14,2,3,1402,140203,305163,0,2,1,18,22,23,26,21,24,23,29,0,0,85,101,186,0.0556,0,0.1304,0.0385,0,0,0,0,0,0,0.0471,0.0099,0.0269,6,30.11,206,1,12,15.06,108,1.722222222,1,186,3,1,2,8,2,2,9,12,39,5,1,1,0
40,14,2,3,1402,140203,305956,0,2,1,34,29,42,46,48,39,40,48,0,0,164,162,326,0.2059,0,0.0714,0,0.0417,0,0.05,0,0,0,0.0854,0,0.0429,6,56.33,350,1,3,101.4,60,5.433333333,2,163,3,1,2,8,2,2,9,12,39,5,1,1,0
41,14,2,3,1402,140203,318901,0,2,1,16,11,9,19,22,24,25,26,0,0,72,80,152,0,0.0909,0.2222,0,0.1364,0.0417,0.04,0,0,0,0.0833,0.025,0.0526,9,17.13,189,1,15,10.28,37,4.108108108,13,11.69,3,1,2,8,2,2,9,12,39,5,1,0,0
42,14,2,4,1402,140204,305136,1,2,1,28,21,25,24,37,33,27,37,0,0,117,115,232,0,0,0,0,0,0.0606,0,0,0,0,0,0.0174,0.0086,7,32.4,215,1,4,54,81,2.864197531,14,16.57,3,1,2,8,2,2,9,12,39,5,1,0,0
43,14,2,4,1402,140204,305137,0,2,1,44,21,35,45,41,47,31,51,0,0,151,164,315,0.0455,0,0,0,0,0.0426,0.0645,0.0196,0,0,0.0265,0.0183,0.0222,9,33.25,189,2,11,28.5,27,11.66666667,13,24.23,3,1,2,8,2,2,9,12,39,5,1,0,0
44,14,2,4,1402,140204,305138,1,2,1,106,115,138,119,137,144,114,126,0,0,495,504,999,0.1415,0.0261,0.0435,0.0168,0.0803,0.0417,0.0263,0.0159,0,0,0.0707,0.0258,0.048,11,95.06,275,4,4,285.17,184,5.429347826,46,21.72,3,1,2,8,2,2,9,12,39,5,1,0,0
45,14,2,4,1402,140204,305158,0,2,2,40,36,39,37,49,24,41,39,0,0,169,136,305,0.025,0.0278,0.1026,0.027,0.0408,0.0417,0.0244,0,0,0,0.0473,0.0221,0.0361,8,37.5,203,2,6,50,7,43.57142857,25,12.2,3,1,2,8,2,2,9,12,39,5,1,0,0
46,14,2,4,1402,140204,318902,0,2,1,40,51,67,56,57,60,60,54,1,0,225,221,446,0.025,0,0.0299,0,0.0526,0.0167,0.0333,0.0185,0,0,0.0356,0.009,0.0224,10,46.5,209,2,14,31,40,11.15,21,21.24,3,1,2,8,2,2,9,12,39,5,1,0,0
47,14,2,4,1402,140204,318912,0,2,2,32,28,31,45,37,37,32,40,0,0,132,150,282,0,0,0.1935,0,0.0541,0.0541,0.125,0,0,0,0.0909,0.0133,0.0496,6,48.25,107,3,4,77.2,0,-999,0,-999,3,1,2,8,2,2,9,12,39,5,1,0,0
48,14,2,5,1402,140205,305125,1,2,1,121,118,106,118,150,109,93,144,0,0,470,489,959,0.0165,0.0085,0.0472,0,0.0267,0.0092,0.0215,0,0,0,0.0277,0.0041,0.0156,19,50.39,500,2,25,38.6,115,8.339130435,35,27.4,3,1,2,8,2,2,9,12,39,5,1,0,0
49,14,2,5,1402,140205,305127,0,2,1,28,25,29,33,34,45,33,37,0,0,124,140,264,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34.08,124,2,8,31.64,84,3.142857143,17,15.53,3,1,2,8,2,2,9,12,39,5,1,0,0
50,14,2,5,1402,140205,305134,0,2,1,6,6,14,18,11,16,17,15,0,0,48,55,103,0,0,0.0714,0,0,0,0,0.0667,0,0,0.0208,0.0182,0.0194,6,16.11,107,1,13,7.63,40,2.575,8,12.88,3,1,2,8,2,2,9,12,39,5,1,0,0
51,14,2,5,1402,140205,305159,0,2,1,18,8,15,26,10,15,22,12,0,0,65,61,126,0.2222,0,0,0,0,0,0.0455,0,0,0,0.0769,0,0.0397,7,18.36,181,1,16,8.08,32,3.9375,11,11.45,3,1,2,8,2,2,9,12,39,5,1,0,0
52,14,2,5,1402,140205,305142,0,2,1,18,22,17,17,21,21,20,20,0,0,76,80,156,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23.82,96,2,14,11.39,150,1.04,12,13,3,1,2,8,2,2,9,12,39,5,1,0,0
53,14,2,5,1402,140205,318907,0,2,1,4,4,7,6,9,4,6,18,0,0,26,32,58,0,0,0,0,0,0,0.1667,0,0,0,0.0385,0,0.0172,4,13,89,1,2,32.5,5,11.6,1,58,3,1,2,8,2,2,9,12,39,5,1,1,0
54,14,2,6,1402,140206,305145,1,2,1,38,28,41,30,59,46,54,47,0,0,192,151,343,0.0263,0,0.0732,0.0333,0.0508,0,0.0556,0,0,0,0.0521,0.0066,0.0321,17,19.79,311,1,33,10.44,50,6.86,22,15.59,3,1,2,8,2,2,9,12,39,5,1,0,0
55,14,2,6,1402,140206,305146,0,2,2,19,9,29,16,26,22,34,37,0,0,108,84,192,0,0,0.0345,0,0.1538,0,0,0,0,0,0.0463,0,0.026,9,20.94,155,1,12,15.48,90,2.133333333,22,8.73,3,1,2,8,2,2,9,12,39,5,1,0,0
56,14,2,6,1402,140206,318903,0,2,1,13,18,12,16,8,16,19,17,0,0,52,67,119,0,0,0,0.0625,0,0,0,0,0,0,0,0.0149,0.0084,6,20.25,84,1,3,40.5,42,2.833333333,9,13.22,3,1,2,8,2,2,9,12,39,5,1,0,0
57,14,2,7,1402,140207,305143,1,2,2,49,45,49,47,51,49,65,41,0,0,214,182,396,0.0816,0,0.102,0,0.0588,0.0204,0.0308,0,0,0,0.0654,0.0055,0.0379,26,15.2,539,1,16,24.52,52,7.615384615,43,9.21,3,1,2,8,2,2,9,12,39,5,1,0,0
58,14,2,7,1402,140207,305147,0,2,1,43,41,53,47,50,65,50,50,0,0,196,203,399,0.093,0,0.0566,0,0,0.0154,0.06,0,0,0,0.051,0.0049,0.0276,12,33.22,420,1,11,37.38,168,2.375,22,18.14,3,1,2,8,2,2,9,12,39,5,1,0,0
59,14,2,7,1402,140207,305148,0,2,1,39,25,25,29,24,34,26,39,0,0,114,127,241,0.0513,0,0.08,0,0.0417,0,0.0385,0,0,0,0.0526,0,0.0249,9,27.31,147,2,7,32.27,165,1.460606061,13,18.54,3,1,2,8,2,2,9,12,39,5,1,0,0
60,14,2,8,1402,140208,305149,1,2,1,24,29,32,32,27,37,34,57,0,0,117,155,272,0.1667,0.0345,0.0313,0.0313,0.037,0,0.2059,0,0,0,0.1111,0.0129,0.0551,10,28.41,456,1,8,32.2,8,34,19,14.32,3,1,2,8,2,2,9,12,39,5,1,0,0
61,14,2,8,1402,140208,305154,0,2,1,40,36,35,42,45,35,35,28,0,0,155,141,296,0.05,0,0,0,0.0222,0,0.0286,0.0357,0,0,0.0258,0.0071,0.0169,11,25.94,307,1,6,46.11,68,4.352941176,12,24.67,3,1,2,8,2,2,9,12,39,5,1,0,0
62,14,2,9,1402,140209,318905,1,2,1,75,85,86,93,98,86,89,96,0,0,348,360,708,0,0.0235,0,0.0108,0.0714,0.0116,0.0337,0.0208,0,0,0.0287,0.0167,0.0226,20,35.19,580,1,24,29.52,105,6.742857143,29,24.41,3,1,2,8,2,2,9,12,39,5,1,0,0
63,14,2,9,1402,140209,318906,0,2,1,52,47,42,51,60,49,65,64,0,0,219,211,430,0,0,0.0714,0,0.05,0.0204,0.0308,0.0313,0,0,0.0365,0.0142,0.0256,4,102.8,452,1,9,46.73,60,7.166666667,10,43,3,1,2,8,2,2,9,12,39,5,1,1,0
64,14,2,9,1402,140209,318909,0,2,1,53,44,54,52,61,50,54,51,0,0,222,197,419,0,0,0.0185,0,0.1475,0.04,0.0556,0.0196,0,0,0.0586,0.0152,0.0382,16,26.36,312,1,17,24.41,166,2.524096386,20,20.95,3,1,2,8,2,2,9,12,39,5,1,0,0
65,14,2,9,1402,140209,318910,0,2,1,21,15,22,19,15,19,25,16,0,0,83,69,152,0,0,0.0455,0,0,0,0,0,0,0,0.012,0,0.0066,6,27.43,119,1,6,24,31,4.903225806,5,30.4,3,1,2,8,2,2,9,12,39,5,1,0,0
66,14,2,10,1402,140210,305132,0,2,1,11,12,10,5,5,8,15,10,0,0,41,35,76,0.2727,0,0,0,0,0,0.0667,0,0,0,0.0976,0,0.0526,5,14.13,101,1,6,12.56,79,0.962025316,8,9.5,3,1,2,8,2,2,9,12,39,5,1,0,0
67,14,2,10,1402,140210,305139,0,2,1,19,18,19,23,8,29,24,22,0,0,70,92,162,0.0526,0,0.1053,0,0,0,0.0833,0,0,0,0.0714,0,0.0309,9,17.47,43,4,6,26.2,34,4.764705882,11,14.73,3,1,2,8,2,2,9,12,39,5,1,0,0
68,14,2,10,1402,140210,305144,0,2,1,39,57,46,50,43,47,54,46,0,0,182,200,382,0,0,0,0,0,0,0.0185,0,0,0,0.0055,0,0.0026,10,38.07,258,1,8,47.58,37,10.32432432,17,22.47,3,1,2,8,2,2,9,12,39,5,1,0,0
69,14,2,10,1402,140210,305151,1,2,2,90,67,92,82,106,83,83,84,0,0,371,316,687,0.0111,0,0.0109,0,0.0283,0,0.0241,0,0,0,0.0189,0,0.0102,11,61.44,186,4,11,61.44,86,7.988372093,36,19.08,3,1,2,8,2,2,9,12,39,5,1,0,0
70,14,2,10,1402,140210,305152,0,2,1,25,28,29,23,25,27,31,30,0,0,110,108,218,0.12,0,0.0345,0.087,0.12,0.0741,0.0968,0.0333,0,0,0.0909,0.0463,0.0688,9,24.93,125,2,9,24.93,2,109,24,9.08,3,1,2,8,2,2,9,12,39,5,1,0,0
71,14,2,10,1402,140210,305153,0,2,3,12,18,21,15,14,18,19,17,0,0,66,68,134,0,0,0.0476,0,0,0.0556,0,0,0,0,0.0152,0.0147,0.0149,6,21,149,1,5,26.25,25,5.36,11,12.18,3,1,2,8,2,2,9,12,39,5,1,0,0
72,14,2,10,1402,140210,305155,1,2,1,55,54,61,52,56,54,57,87,0,0,229,247,476,0.0364,0.0185,0.0492,0.0192,0,0,0.0351,0,0,0,0.0306,0.0081,0.0189,19,25.06,356,1,26,18.65,57,8.350877193,27,17.63,3,1,2,8,2,2,9,12,39,5,1,0,0
73,14,2,10,1402,140210,305156,0,2,1,29,19,22,20,31,21,34,21,0,0,116,81,197,0.069,0,0.0909,0,0,0,0,0.0476,0,0,0.0345,0.0123,0.0254,9,22,105,2,3,57.2,99,1.98989899,13,15.15,3,1,2,8,2,2,9,12,39,5,1,0,0
74,14,2,10,1402,140210,318917,0,2,1,17,20,20,24,13,14,16,17,0,0,66,75,141,0,0.05,0,0,0,0,0,0,0,0,0,0.0133,0.0071,3,49,72,2,5,28,5,28.2,6,23.5,3,1,2,8,2,2,9,12,39,5,1,0,0
75,14,2,11,1402,140211,305157,0,2,2,47,36,29,25,39,39,41,47,0,0,156,147,303,0.0638,0,0,0,0.0513,0.0256,0,0,0,0,0.0321,0.0068,0.0198,13,22.85,495,1,22,13.85,50,6.06,20,15.15,3,1,2,8,2,2,9,12,39,5,1,0,0
76,14,2,12,1402,140212,305141,0,2,1,60,48,75,53,60,62,59,51,0,0,254,214,468,0,0,0.04,0.0755,0.0333,0.0161,0,0.0196,0,0,0.0197,0.028,0.0235,12,39.41,145,3,25,18.61,68,6.882352941,29,16.14,3,1,2,8,2,2,9,12,39,5,1,0,0
77,14,2,12,1402,140212,305160,1,2,1,55,49,64,63,52,53,66,44,0,0,237,209,446,0.0182,0.0204,0.0938,0,0.0962,0,0.0303,0.0227,0,0,0.0591,0.0096,0.0359,24,18.49,494,1,30,14.87,46,9.695652174,27,16.52,3,1,2,8,2,2,9,12,39,5,1,0,0
78,14,2,12,1402,140212,305161,0,2,1,35,22,34,23,33,22,39,26,0,0,141,93,234,0,0,0,0.0435,0,0.0455,0.0256,0.0385,0,0,0.0071,0.0323,0.0171,9,25.14,204,1,17,14.08,58,4.034482759,14,16.71,3,1,2,8,2,2,9,12,39,5,1,0,0
79,14,2,12,1402,140212,305165,0,2,1,40,36,59,36,48,61,56,49,0,0,203,182,385,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23.77,331,1,18,21.79,101,3.811881188,18,21.39,3,1,2,8,2,2,9,12,39,5,1,0,0
80,14,2,12,1402,140212,318904,0,2,1,62,67,79,59,69,53,65,77,2,0,277,256,533,0.0161,0.0299,0,0,0,0.0377,0.0308,0.013,0,0,0.0108,0.0195,0.015,11,49.14,399,1,7,76.44,35,15.22857143,23,23.17,3,1,2,8,2,2,9,12,39,5,1,0,0
81,14,2,12,1402,140212,318914,0,2,1,18,10,5,11,15,12,19,14,0,0,57,47,104,0.0556,0,0,0,0.0667,0,0.1053,0,0,0,0.0702,0,0.0385,10,10.31,101,1,22,4.79,16,6.5,2,52,3,1,2,8,2,2,9,12,39,5,1,1,0
82,14,2,13,1402,140213,305162,1,2,1,156,141,172,174,197,202,193,188,0,0,718,705,1423,0.0769,0.0142,0.0465,0.0172,0.0102,0,0.0104,0.0053,0,0,0.0334,0.0085,0.0211,40,35.7,-999,1,43,32.72,169,8.420118343,70,20.33,3,1,2,8,2,2,9,12,39,5,1,0,0
83,14,2,13,1402,140213,305164,0,2,1,23,19,21,24,18,20,20,25,0,0,82,88,170,0.0435,0,0.1429,0,0.1667,0,0,0,0,0,0.0854,0,0.0412,8,21,147,1,10,17.77,152,1.118421053,10,17,3,1,2,8,2,2,9,12,39,5,1,0,0
84,14,2,9,1402,140209,305133,1,2,1,322,312,381,381,382,419,441,408,0,2,1526,1522,3048,0.0497,0.016,0.0315,0.0131,0.0471,0.0167,0.0408,0.0147,0,0,0.0419,0.0151,0.0285,59,51.93,-999,1,29,104.83,213,14.30985915,133,22.92,3,1,2,8,2,2,9,12,39,5,1,0,1
85,14,2,1,1402,140201,306057,0,4,1,28,23,25,17,25,17,0,0,0,0,78,57,135,0.1429,0.087,0.04,0.0588,0.16,0,0,0,0,0,0.1154,0.0526,0.0889,-999,-999,116,1,4,33.75,0,-999,1,135,3,1,2,8,2,2,9,12,39,5,1,1,0
86,14,2,9,1402,140209,305539,0,4,1,27,24,28,36,26,30,39,29,0,0,120,119,239,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,430,1,0,-999,58,4.120689655,9,26.56,3,1,2,8,2,2,9,12,39,5,1,0,0
87,14,2,9,1402,140209,318916,0,4,1,33,19,25,28,23,33,31,39,0,0,112,119,231,0,0,0,0,0,0,0,0.0256,0,0,0,0.0084,0.0043,13,17.77,213,1,21,11,17,13.58823529,8,28.88,3,1,2,8,2,2,9,12,39,5,1,0,0
88,16,3,4,1603,160304,500029,0,1,1,53,76,85,79,89,84,97,81,0,0,324,320,644,0.0189,0,0.0471,0,0,0.0476,0,0,0,0,0.0154,0.0125,0.014,13,50.33,579,1,22,29.36,62,10.38709677,24,26.83,3,0,2,9,4,3,8,14,43,5,1,0,0
89,16,3,8,1603,160308,501333,0,3,1,34,20,47,35,24,18,30,24,0,0,135,97,232,0,0,0,0,0,0,0.0333,0,0,0,0.0074,0,0.0043,-999,-999,-999,0,0,-999,0,-999,6,38.67,3,0,2,9,4,3,8,14,43,5,1,0,0
90,16,3,10,1603,160310,500153,0,3,2,16,23,30,24,25,41,20,19,0,0,91,107,198,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15.23,413,0,14,14.14,0,-999,10,19.8,3,0,2,9,4,3,8,14,43,5,1,0,0
91,16,3,1,1603,160301,301569,1,2,2,108,139,116,145,126,111,131,141,0,0,481,536,1017,0.0093,0,0.0431,0.0207,0.0476,0.036,0,0,0,0,0.0249,0.0131,0.0187,26,39.56,-999,1,32,32.15,48,21.1875,47,21.64,3,0,2,9,4,3,8,14,43,5,1,0,0
92,16,3,1,1603,160301,301570,0,2,1,65,64,52,55,56,59,52,55,0,0,225,233,458,0.0769,0.0781,0.0769,0,0.125,0.0169,0.0769,0.0364,0,0,0.0889,0.0343,0.0611,9,51.54,335,1,12,39.41,9,50.88888889,25,18.32,3,0,2,9,4,3,8,14,43,5,1,0,0
93,16,3,7,1603,160307,301594,1,2,1,110,118,127,126,125,131,103,123,0,0,465,498,963,0.1727,0.0593,0.0866,0.0794,0.064,0.0305,0.0485,0.0163,0,0,0.0925,0.0462,0.0685,25,39.27,578,2,30,32.4,4,240.75,36,26.75,3,0,2,9,4,3,8,14,43,5,1,0,0
